All measured points in VidSync project Porter_BACI_RoachRun_5July2018_Part1,,,,,,,,,,
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_1 1 (Okisutch),Drift_Forage 1,0:00:07:30.175/60000,450.00293,45.767326,18.348572,19.531727,0.060614,0.400711,82.813538,
Subsample_1 1 (Okisutch),Drift_Forage 2,0:00:07:33.175/60000,453.00293,45.546421,20.536438,19.743763,0.060694,0.455147,84.91523,
Subsample_1 1 (Okisutch),Drift_Forage 3,0:00:07:36.175/60000,456.00293,50.996304,23.169432,20.90354,0.069344,0.642234,88.128052,
Subsample_1 1 (Okisutch),Surface_Strike 4,0:00:07:39.175/60000,459.00293,52.110165,20.991636,18.093042,0.089331,0.256915,86.55851,
Subsample_1 1 (Okisutch),Drift_Forage 5,0:00:07:42.175/60000,462.00293,47.729237,19.488501,21.260769,0.054183,0.251878,83.972435,
Subsample_1 1 (Okisutch),Drift_Forage 6,0:00:07:45.175/60000,465.00293,54.736748,22.126566,21.776726,0.070383,0.370448,87.729843,
Subsample_1 1 (Okisutch),Drift_Forage 7,0:00:07:48.175/60000,468.00293,54.448341,21.688272,19.451294,0.085917,0.60893,87.510002,
Subsample_1 1 (Okisutch),Drift_Forage 8,0:00:07:51.175/60000,471.00293,45.160717,20.956539,22.492073,0.043015,0.292632,84.97982,
Subsample_1 1 (Okisutch),Drift_Forage 9,0:00:07:54.175/60000,474.00293,48.010471,18.72595,21.85457,0.04979,0.035544,83.196899,
Subsample_1 1 (Okisutch),Drift_Forage 10,0:00:07:57.175/60000,477.00293,39.363724,22.230516,21.438242,0.040539,0.888021,85.934486,
Subsample_1 1 (Okisutch),Drift_Forage 11,0:00:08:00.175/60000,480.00293,43.847828,19.467678,20.929777,0.04791,1.45838,83.542221,
Subsample_1 1 (Okisutch),Length 13,0:00:07:35.55328/60000,455.922119,51.436401,23.775276,21.050234,0.070439,0.49752,88.780334,
Subsample_1 1 (Okisutch),Length 12,0:00:07:30.175/60000,450.00293,50.013844,16.37767,19.707916,0.068813,0.117175,81.465889,
Subsample_1 1 (Okisutch),Length 13,0:00:07:35.55328/60000,455.922119,55.819874,22.727758,22.087719,0.071776,0.681849,88.518188,
Subsample_1 1 (Okisutch),Length 14,0:00:07:39.175/60000,459.00293,56.471207,19.663153,17.259577,0.106655,0.035299,86.316765,
Subsample_1 1 (Okisutch),Length 14,0:00:07:39.175/60000,459.00293,52.044945,20.864134,18.149998,0.088626,0.633641,86.414291,
Subsample_1 1 (Okisutch),Length 12,0:00:07:30.175/60000,450.00293,45.719803,18.324982,19.552155,0.060338,0.28181,82.782059,
Subsample_1 2 (Omykiss),Drift_Forage 15,0:00:07:30.175/60000,450.00293,-40.072124,40.980145,-17.341003,0.121346,0.03598,123.281662,
Subsample_1 2 (Omykiss),Drift_Forage 17,0:00:07:36.175/60000,456.00293,-25.225294,37.297165,-14.352424,0.119708,0.059421,114.228722,
Subsample_1 2 (Omykiss),Feint 16,0:00:07:33.175/60000,453.00293,-25.323713,44.677849,-9.873414,0.0812,1.309067,119.254929,
Subsample_1 2 (Omykiss),Drift_Forage 18,0:00:07:39.175/60000,459.00293,-24.924154,43.442982,-4.838276,0.070643,0.338139,116.434753,
